task,trial,score,n_pages,n_matched_avg,bm_position,bm_text,bm_color,bm_font,bm_border,bm_size,bm_recall,tree_bleu,visual_ssim
government__dark_native_clean-001,government__dark_native_clean-00__LnKU9Xq,0.6106130493567371,7.0,91.85714285714286,0.3037123867447767,0.8655230009653574,0.8237836328368883,0.869610766392703,0.9687751914727245,0.6903256611818133,0.5513075919130284,0.43284473274682644,0.433205213102863
government__dark_native_clean-001,government__dark_native_clean-00__arGGrZM,0.6026480880908832,7.0,84.0,0.27413538216612415,0.8744901071502326,0.83803161363984,0.8877594185597294,0.970155051902972,0.7003835759538077,0.5071854163186255,0.39969204686704846,0.4541420375088107
government__dark_native_clean-001,government__dark_native_clean-00__eXfAK9s,0.5794895542199988,7.0,87.14285714285714,0.35157769035374276,0.8907944003604306,0.7743783461184484,0.7689004955529979,0.9688812413820521,0.6919787857367156,0.5140071353266679,0.3247057453107228,0.45241795207077623
government__dark_native_clean-001,government__dark_native_clean-00__ofpjwuZ,0.6108387285766439,7.0,87.57142857142857,0.32930269348969304,0.875113352534535,0.8123117131179054,0.8323296649612234,0.971856253005733,0.6868967776353665,0.5060515733649967,0.44892936289066393,0.45523584389240884
government__dark_native_clean-001,government__dark_native_clean-00__xni39HT,0.5871719042806213,7.0,90.57142857142857,0.33549895636320065,0.8729126912021558,0.8149076039588762,0.7685339099606355,0.9816588449581334,0.669202998282822,0.5298272619744328,0.3346146534681879,0.48017511062901896
healthcare_clinic__glassy_pastel-001,healthcare_clinic__glassy_pastel__7VV9Zq2,0.6980447693509785,7.0,140.71428571428572,0.4657504440949733,0.9760061541753527,0.7985288228030133,0.9470363772913176,0.9541855835484403,0.7408283799766056,0.9060055676744547,0.44757129948558216,0.5123311132879911
healthcare_clinic__glassy_pastel-001,healthcare_clinic__glassy_pastel__7zGeYzt,0.6386387192715217,7.0,95.71428571428571,0.36586798580233465,0.9124152577595314,0.8142026284012301,0.9173210942493163,0.9204147459750974,0.6759751656687483,0.6785321402873257,0.40843375122257364,0.49295032084662666
healthcare_clinic__glassy_pastel-001,healthcare_clinic__glassy_pastel__KsWf7yq,0.6277451198892132,7.0,92.28571428571429,0.3770922239271807,0.9216177496103739,0.8159384024223609,0.7859268791136856,0.9050929959243313,0.6777565286456885,0.6748848317302293,0.4103692124441605,0.4933126117402014
healthcare_clinic__glassy_pastel-001,healthcare_clinic__glassy_pastel__RoLCbSw,0.6299617284994482,7.0,95.28571428571429,0.37563339073903573,0.9039614388460632,0.8535931390154546,0.7822372521218258,0.913022677008227,0.6977611514956319,0.6843910236687104,0.3949951979644089,0.4898054655454001
healthcare_clinic__glassy_pastel-001,healthcare_clinic__glassy_pastel__ej7uWxn,0.6183480769472772,7.0,98.42857142857143,0.35823096880118566,0.9244070606904579,0.8587281633777992,0.7723267991821491,0.899576844575891,0.6564997925918676,0.662710705500034,0.372194301447177,0.4761705843534204
